canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
all done,All done,phrase,Actions,Faison SLP collected words,Actions,Tier 1 - Phase I MVP,core,verb/action,refusal/protest,,Yes,Yes,No,,I don't want that; All done; Different,Typical 1 word expressions from Faison
break,Break,word,Actions,Faison SLP collected words,Actions,Tier 1 - Phase I MVP,core,verb/action,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
close,Close,word,Actions,Faison SLP collected words,Actions,Tier 1 - Phase I MVP,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
drink,Drink,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,verb/action,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
eat,Eat,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,verb/action,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
go,Go,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
good,Good,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Greetings/Interjections; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,descriptor/adjective,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
goodbye,Goodbye,word,Actions,Faison SLP collected words,Greetings/Interjections,Tier 1 - Phase I MVP,core,word,social,,Yes,Yes,No,,My turn; I like this; Hi / Hello,Typical 1 word expressions from Faison
help,Help,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 1 - Phase I MVP,core,verb/action,help-seeking,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
help me,Help me,phrase,Actions,Validation scenarios,Frustration; Request help,Tier 1 - Phase I MVP,core,verb/action,help-seeking,Frustration; Request help,Yes,Yes,No,Help me / I’m frustrated,,Emotional expression; Functional communication
