canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,phrase_pos,ui_tab,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
all done,All done,phrase,Actions,Faison SLP collected words,,Tier 1 - Phase I MVP,core,phrase,verb/action,core,refusal/protest,,Yes,Yes,No,,I don't want that; All done; Different,Typical 1 word expressions from Faison
aren't,aren't,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,more,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
bad,Bad,word,Social,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,social,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
bathroom,Bathroom,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,fringe/personalizable,noun,,things,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
break,Break,word,Actions,Faison SLP collected words,,Tier 1 - Phase I MVP,core,verb/action,,actions,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
can't,can't,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,more,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
close,Close,word,Actions,Faison SLP collected words,,Tier 1 - Phase I MVP,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
couldn't,couldn't,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,more,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
drink,Drink,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
eat,Eat,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
feel,Feel,word,Actions,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,verb/action,,actions,emotional expression,,Yes,Yes,No,,I feel ___,Restored from v1 app.js; key verb for emotional communication
food,Food,word,Food/Drink,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,noun,,things,request,,Yes,Yes,No,,I want food; I need food,Restored from v1 app.js; generic food noun; specific items exist in tier 2
frustrated,Frustrated,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
go,Go,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
good,Good,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,core,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
goodbye,Goodbye,word,Actions,Faison SLP collected words,,Tier 1 - Phase I MVP,core,word,,core,social,,Yes,Yes,No,,My turn; I like this; Hi / Hello,Typical 1 word expressions from Faison
happy,Happy,word,Feelings,Faison SLP collected words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,,,Typical 1 word expressions from Faison
haven't,haven't,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,more,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
he,He,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Promoted from tier 3; separate male pronoun alongside he_she combined
he/she,He/She,word,People/Pronouns/Possessives,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,he; she,,Combined pronoun symbol restored from v1; he/she individually also available at tier 1
hello,Hello,word,Social,Validation scenarios; Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,word,,core,social,Greeting,Yes,Yes,No,Hi / Hello,My turn; I like this; Hi / Hello,Social initiation; Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
help,Help,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,core,help-seeking,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
help me,Help me,phrase,Actions,Validation scenarios,,Tier 1 - Phase I MVP,core,phrase,verb/action,core,help-seeking,Frustration; Request help,Yes,Yes,No,Help me / I'm frustrated,,Emotional expression; Functional communication
hi,Hi,word,Social,Validation scenarios; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,word,,core,social,Greeting,Yes,Yes,No,Hi / Hello,My turn; I like this; Hi / Hello,Social initiation; Reference expansion from Marvin et al. 330 preschool words
i,I,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
i need a break,I need a break,phrase,Actions,Validation scenarios,,Tier 1 - Phase I MVP,core,phrase,verb/action,core,regulation/body need,Overstimulated,Yes,Yes,No,Too loud / I need a break,,Sensory regulation
i need the bathroom,I need the bathroom,phrase,Places,Validation scenarios,,Tier 1 - Phase I MVP,fringe/personalizable,phrase,verb/action,core,regulation/body need,Bathroom,Yes,Yes,No,,,"High priority, fast phrase"
i want water,I want water,phrase,Actions,Validation scenarios,,Tier 1 - Phase I MVP,core,phrase,verb/action,core,request,Drink request,Yes,Yes,No,,,"Basic needs, fast access"
know,know,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,refusal/protest,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
mad,Mad,word,Feelings,Faison SLP collected words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,regulation/body need; emotional expression,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
made,made,word,Feelings,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,regulation/body need; emotional expression,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
me,Me,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
mine,Mine,word,Places,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,fringe/personalizable,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
more,More,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,word,,core,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
my,My,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
need,need,word,Uncategorized,Marvin 330 preschool words,,Tier 1 - Phase I MVP,fringe/personalizable,verb/action,,core,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
nervous,Nervous,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
no,No,word,Negation/Repair,Validation scenarios; Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,core,refusal/protest,Rejecting,Yes,Yes,No,No / I don't want that,I don't want that; All done; Different,Clear refusal; Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
not,not,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,more,refusal/protest,,Yes,Yes,No,,I don't want that; All done; Different,Reference expansion from Marvin et al. 330 preschool words
ok,OK,word,Social,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,word,,core,social,,Yes,Yes,No,OK/Fine,,Variant from slash-delimited Faison row; Reference expansion from Marvin et al. 330 preschool words
open,Open,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
play,Play,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,request,,Yes,Yes,No,,My turn; I like this; Hi / Hello,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
sad,Sad,word,Feelings,Faison SLP collected words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,emotional expression,,Yes,Yes,No,,,Typical 1 word expressions from Faison
school,School,word,Places,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,noun,,things,general vocabulary,,Yes,Yes,No,,I go to school; I like school,Restored from v1 app.js; checking with team why omitted from original list
she,She,word,People/Pronouns/Possessives,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Promoted from tier 3; separate female pronoun alongside he_she combined
sick,Sick,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 1 - Phase I MVP,core,descriptor/adjective,,feelings,regulation/body need,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
space,Space,word,Regulation/Safety,Faison SLP collected words,,Tier 1 - Phase I MVP,core,noun,,core,regulation/body need,,Yes,Yes,No,,,Typical 1 word expressions from Faison
stop,stop,word,Actions,Validation scenarios; Faison SLP collected words,,Tier 1 - Phase I MVP,core,negation/repair,,core,refusal/protest,Emotional escalation,Yes,Yes,No,I need help / stop,I need ___; Help me; I need a break,Safety + regulation; Typical 1 word expressions from Faison
thank you,Thank You,phrase,Social,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,phrase,word,core,social,,Yes,Yes,No,,Thank you!,Restored from v1 app.js; no gratitude expression existed in vocabulary
that,That,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 1 - Phase I MVP,core,word,,more,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
tired,Tired,word,Descriptors,Faison SLP collected words,,Tier 1 - Phase I MVP,fringe/personalizable,descriptor/adjective,,feelings,regulation/body need; description/labeling,,Yes,Yes,No,,I need ___; Help me; I need a break,Typical 1 word expressions from Faison
too loud,Too loud,phrase,Regulation/Safety,Validation scenarios,,Tier 1 - Phase I MVP,core,phrase,descriptor/adjective,core,regulation/body need,Overstimulated,Yes,Yes,No,Too loud / I need a break,,Sensory regulation
turn,Turn,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,actions,general vocabulary,,Yes,Yes,No,,My turn; I like this; Hi / Hello,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
want,Want,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,verb/action,,core,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
water,Water,word,Food/Drink,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,fringe/personalizable,noun,,things,request,,Yes,Yes,No,Water/juice,I want ___; I need ___,Variant from slash-delimited Faison row; Reference expansion from Marvin et al. 330 preschool words
won't,won't,word,Negation/Repair,Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,negation/repair,,more,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
yes,Yes,word,Actions,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,word,,core,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
you,You,word,People/Pronouns/Possessives,Faison SLP collected words; Marvin 330 preschool words,,Tier 1 - Phase I MVP,core,pronoun/person,,people,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
airplane,Airplane,word,People/Pronouns/Possessives,Faison SLP collected words,,Tier 2 - Faison expansion,core,noun,,things,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
balloon,Balloon,word,Preferred Items,Faison SLP collected words,,Tier 2 - Faison expansion,fringe/personalizable,noun,,things,description/labeling,,Yes,Yes,Yes,,I want ___; I need ___,Typical 1 word expressions from Faison
big,Big,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
black,Black,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
blue,Blue,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,,more,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
