canonical_term,priority_tier,core_or_fringe OR any other category suggestion?
all done,Tier 1 - Phase I MVP,Social
break,Tier 1 - Phase I MVP,core
close,Tier 1 - Phase I MVP,core
drink,Tier 1 - Phase I MVP,Drink
eat,Tier 1 - Phase I MVP,Eat
go,Tier 1 - Phase I MVP,core
good,Tier 1 - Phase I MVP,core
goodbye,Tier 1 - Phase I MVP,Social
help,Tier 1 - Phase I MVP,core
help me,Tier 1 - Phase I MVP,core
i need a break,Tier 1 - Phase I MVP,core
i want water,Tier 1 - Phase I MVP,core
more,Tier 1 - Phase I MVP,core
open,Tier 1 - Phase I MVP,core
play,Tier 1 - Phase I MVP,Play
stop,Tier 1 - Phase I MVP,core
turn,Tier 1 - Phase I MVP,core
want,Tier 1 - Phase I MVP,core
yes,Tier 1 - Phase I MVP,core
tired,Tier 1 - Phase I MVP,fringe/personalizable
happy,Tier 1 - Phase I MVP,Feelings/emotions
mad,Tier 1 - Phase I MVP,Feelings/emotions
made,Tier 1 - Phase I MVP,core
sad,Tier 1 - Phase I MVP,Feelings/emotions
water,Tier 1 - Phase I MVP,Drink
aren't,Tier 1 - Phase I MVP,core
can't,Tier 1 - Phase I MVP,core
couldn't,Tier 1 - Phase I MVP,core
haven't,Tier 1 - Phase I MVP,core
know,Tier 1 - Phase I MVP,core
no,Tier 1 - Phase I MVP,core
not,Tier 1 - Phase I MVP,core
won't,Tier 1 - Phase I MVP,core
frustrated,Tier 1 - Phase I MVP,Feelings/emotions
i,Tier 1 - Phase I MVP,Personal pronouns
me,Tier 1 - Phase I MVP,Personal pronouns
my,Tier 1 - Phase I MVP,Personal pronouns
nervous,Tier 1 - Phase I MVP,Feelings/emotions
sick,Tier 1 - Phase I MVP,Feelings/emotions
that,Tier 1 - Phase I MVP,core
you,Tier 1 - Phase I MVP,core
bathroom,Tier 1 - Phase I MVP,locations
i need the bathroom,Tier 1 - Phase I MVP,fringe/personalizable
mine,Tier 1 - Phase I MVP,Personal pronouns
space,Tier 1 - Phase I MVP,Nature/Want
too loud,Tier 1 - Phase I MVP,core
bad,Tier 1 - Phase I MVP,core
hello,Tier 1 - Phase I MVP,social
hi,Tier 1 - Phase I MVP,social
ok,Tier 1 - Phase I MVP,core
need,Tier 1 - Phase I MVP,fringe/personalizable
"could be specific to use quiet space, alone space",Tier 2 - Faison expansion,core
do,Tier 2 - Faison expansion,core
dog,Tier 2 - Faison expansion,animals
doll,Tier 2 - Faison expansion,toys
down,Tier 2 - Faison expansion,core
help me / i'm frustrated,Tier 2 - Faison expansion,core
hug,Tier 2 - Faison expansion,core
i don't want that,Tier 2 - Faison expansion,core
i like this,Tier 2 - Faison expansion,core
i need help,Tier 2 - Faison expansion,core
i need help / stop,Tier 2 - Faison expansion,core
i want a jacket,Tier 2 - Faison expansion,core
i want apple,Tier 2 - Faison expansion,core
i want food,Tier 2 - Faison expansion,core
jump,Tier 2 - Faison expansion,action
like,Tier 2 - Faison expansion,core
look at me,Tier 2 - Faison expansion,core
make,Tier 2 - Faison expansion,core
